Order,Category,Type,Item,Cost,Update,
3,Emotes,,Paper Beats Rock,100,,
4,Emotes,,Hold Your Breath,600,,
5,Emotes,,Drive a Wedge,"1,150",,
6,Emotes,,Flank Left,"1,150",,
7,Emotes,,Sarcasti-Clap,"1,150",,
8,Emotes,,Side by Side,"1,150",,
9,Emotes,,Stack 'em,"1,550",,
10,Emotes,,Double Line,"1,550",,
11,Emotes,,Move Out,"1,550",,
12,Emotes,,Let It Out,"1,550",,
13,Emotes,,Drats,"2,000",,
14,Emotes,,Feels good,"2,500",,
1,Paints and Camos,Gear Paint,PenCott LN,"3,500",,
2,Paints and Camos,Gear Paint,KT RAID,"3,500",,
3,Paints and Camos,Gear Paint,KT MANDRAKE,"3,500",,
4,Paints and Camos,Gear Paint,PenCott SS,"3,500",,
5,Paints and Camos,Gear Paint,HCP Tiger,"3,500",,
6,Paints and Camos,Gear Paint,KT TYPHON,"3,500",,
7,Paints and Camos,Gear Paint,NWU Type I,"3,500",,
8,Paints and Camos,Gear Paint,KT YETI,"3,500",,
9,Paints and Camos,Gear Paint,KT NOMAD,"3,500",,
10,Paints and Camos,Gear Paint,PenCott SD,"3,500",,
11,Paints and Camos,Gear Paint,KT HIGHLANDER,"3,500",,
12,Paints and Camos,Gear Paint,KT BANSHEE,"3,500",,
13,Paints and Camos,Gear Paint,Dead Leaves,"3,500",,
14,Paints and Camos,Gear Paint,PenCott MP,"3,500",,
15,Paints and Camos,Gear Paint,Grey Python,"3,500",,
16,Paints and Camos,Gear Paint,KT NEPTUNE,"3,500",,
17,Paints and Camos,Gear Paint,A-TACS AU-X,"3,500",,
18,Paints and Camos,Gear Paint,A-TACS FG-X,"3,500",,
19,Paints and Camos,Gear Paint,A-TACS Ghost,"3,500",,
20,Paints and Camos,Gear Paint,A-TACS LE,"3,500",,
21,Paints and Camos,Gear Paint,A-TACS LE-X,"3,500",,
22,Paints and Camos,Weapon Paint,Red,600,,
23,Paints and Camos,Weapon Paint,White,600,,
24,Paints and Camos,Weapon Paint,Blue,600,,
25,Paints and Camos,Weapon Paint,Khaki,"1,150",,
26,Paints and Camos,Weapon Paint,Olive Green,"1,150",,
27,Paints and Camos,Weapon Paint,TAN,"1,550",,
28,Paints and Camos,Weapon Paint,Olive Brown,"1,150",,
29,Paints and Camos,Weapon Paint,Olive Gray,"1,150",,
30,Paints and Camos,Weapon Paint,A-TACS FG-X,"1,150",,
31,Paints and Camos,Weapon Paint,Cyan,"1,150",,
32,Paints and Camos,Weapon Paint,Purple,"1,150",,
33,Paints and Camos,Weapon Paint,Pink,"1,150",,
34,Paints and Camos,Weapon Paint,Yellow,"1,150",,
35,Paints and Camos,Weapon Paint,A-TACS Ghost,"1,550",,
36,Paints and Camos,Weapon Paint,A-TACS LE-X,"1,550",,
37,Paints and Camos,Weapon Paint,Chocolate Chip,"2,000",,
38,Paints and Camos,Weapon Paint,AOR2,"2,000",Resistance,
39,Paints and Camos,Weapon Paint,Kryptek Banshee,"3,500",,
40,Paints and Camos,Weapon Paint,Kryptek Highlander,"3,500",,
41,Paints and Camos,Weapon Paint,Kryptek Mandrake,"3,500",,
42,Paints and Camos,Weapon Paint,Kryptek Neptune,"3,500",,
43,Paints and Camos,Weapon Paint,Kryptek Nomad,"3,500",,
44,Paints and Camos,Weapon Paint,Kryptek Raid,"3,500",,
45,Paints and Camos,Weapon Paint,Kryptek Typhoon,"3,500",,
46,Paints and Camos,Weapon Paint,Kryptek Yeti,"3,500",,
47,Paints and Camos,Weapon Paint,PenCott LN,"3,500",,
48,Paints and Camos,Weapon Paint,PenCott MP,"3,500",,
49,Paints and Camos,Weapon Paint,PenCott SD,"3,500",,
50,Paints and Camos,Weapon Paint,PenCott SS,"3,500",,
51,Paints and Camos,Weapon Paint,Dead Leaves,"3,500",,
52,Paints and Camos,Weapon Paint,HCP Tiger,"3,500",,
53,Paints and Camos,Weapon Paint,Red Crystal,"7,500",,
54,Paints and Camos,Weapon Paint,Scale,"7,500",,
55,Paints and Camos,Weapon Paint,Purple Hex,"7,500",,
56,Paints and Camos,Weapon Paint,Virus,"7,500",,
57,Paints and Camos,Weapon Paint,Blue Tiger,"7,500",,
58,Paints and Camos,Weapon Paint,Cells,"7,500",,
59,Paints and Camos,Weapon Paint,Checkers,"7,500",,
60,Paints and Camos,Weapon Paint,Dark Ops,"7,500",,
61,Paints and Camos,Weapon Paint,Leopard,"7,500",,
62,Paints and Camos,Weapon Paint,Magma,"7,500",,
63,Paints and Camos,Weapon Paint,Neuromod,"7,500",,
64,Paints and Camos,Weapon Paint,Technologic,"7,500",,
