Episode,Mission Name,Profile,XP,Credits,Other Rewards,Locations
Operation Motherland,Golden Parachute,R.09 DT.HELIX,"3,600","1,800","Landscape Mk. II Russian, Future Soldier Helmet","New Argyll - Skell Estate, Traces of Ancient Ruins to E on hill above Juice Processing Center"
Operation Motherland,Eyes in the Sky,R.10 DT.FUSE,"1,000","1,000",-,"Restricted Area 01 - Hidden Coomb Bivouac, base jump platform above Arrow Testing Zone"
Operation Motherland,Fight for Security,R.10 DT.FUSE,"1,200",200,Weapon parts,Restricted Area 01 - Omega Operations
Operation Motherland,Striking the Drones Cargo,R.10 DT.FUSE,"1,200",200,Weapon parts,Restricted Area 01 - Outpost Red Ferret
Operation Motherland,Assassination and Diversion,R.10 DT.FUSE,"1,200",200,Weapon parts,"Restricted Area 01 - Outpost Red Fox, Camp Ferret"
Operation Motherland,Clear Skies,R.10 DT.FUSE,"1,200",200,Weapon parts,Restricted Area 01 - Camp Fox
Operation Motherland,Decisive Advantage,R.10 DT.FUSE,"1,200",200,Weapon parts,Restricted Area 01 - Assembly Hall Omega 02
Operation Motherland,The Azraels' Fall,R.10 DT.FUSE,"3,600","1,800",Future Soldier Vest,Restricted Area 01 - Arrow Testing Zone
Operation Motherland,The Filmmaker,Vassili Kropotkine,"20,000","2,500","Vassili Kropotkine (Costume), Gorka 4 Jacket, Depleted Ration",Silent Mountain - Auroa Intranet Control
Operation Motherland,The Bodark Leader,R.11 HL.ORPHEUS,"1,000","1,000",-,Golem Island - Sector 01 - Wreck Ship Bivouac
Operation Motherland,Nowhere to Run,R.11 HL.ORPHEUS,"12,000","2,500","IC-8 Incursion Russian, Russian Counter-Terrorism Armor","Golem Island - Sector 01 - Golem Island Heliport, roving trucks circling road S of Golem Island Satellite Dish"
Operation Motherland,The Only Way,R.11 HL.ORPHEUS,"1,200",200,Weapon parts,Golem Island - Sector 02 - Camp Salamander
Operation Motherland,Trojan Horse,R.11 HL.ORPHEUS,"1,200",200,Weapon parts,"Golem Island - Sector 03 - Prototype Workshp, Lavaduct"
Operation Motherland,No Escape,R.11 HL.ORPHEUS,"1,200",200,Weapon parts,Golem Island - Sector 03 - Lavaduct
Operation Motherland,The Last Guardian,R.11 HL.ORPHEUS,"1,200",200,Weapon parts,Golem Island - Sector 03 - Lava Shield
Operation Motherland,Maksimova's Fate,Katya Maksimova,"100,000","12,000","SR-3M Scout (Blueprint), Bodark A (Patch), Bodark B (Patch), Katya Maksimova (Costume), Conqueror (Title), Depleted Ration",Golem Island - Sector 03 - Lava Shield
Operation Motherland,Like a Snake,N/A,"4,800","2,500",Russian Ration,"Must complete Conquest, then Golem Island - Sector 02 - Missile Site Ruins (get in the boat in the hidden dock), Quantum Computer Center"
